	Kingdom	Phylum	Class	Order	Family	Genus	Species	Blast	Annotated
ASV287	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus		"Staphylococcus warneri strain FDAARGOS_754 chromosome, complete genome"	Staphylococcus
ASV288	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Auricoccus-Abyssicoccus		"Uncultured Macrococcus sp. clone OTU22 16S ribosomal RNA gene, partial sequence"	Auricoccus-Abyssicoccus
ASV289	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas sp. LE-112 gene for 16S ribosomal RNA, partial sequence"	Sphingomonas
ASV290	Bacteria	Proteobacteria	Alphaproteobacteria	Zavarziniales	Zavarziniaceae	Zavarzinia	compransoris	"Zavarzinia compransoris strain CB95 16S ribosomal RNA gene, partial sequence"	Zavarzinia
ASV291	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Candidatus Obscuribacter		"Uncultured bacterium clone ASBud39 16S ribosomal RNA gene, partial sequence"	Candidatus Obscuribacter
ASV292	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Family_JG30-KF-CM45		"Uncultured bacterium clone 16S(V3+V4)-3480 16S ribosomal RNA gene, partial sequence"	Family_JG30-KF-CM45
ASV293	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV294	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		"Pseudomonas oleovorans strain SD4-2 16S ribosomal RNA gene, partial sequence"	Pseudomonas
ASV295	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV296	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Paeniclostridium		"Enterococcus faecalis strain BFFF11 chromosome, complete genome"	Paeniclostridium
ASV297	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	avium	"Brevibacterium avium strain APP58 16S ribosomal RNA gene, partial sequence"	Brevibacterium
ASV298	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans		"Uncultured beta proteobacterium clone A154 16S ribosomal RNA gene, partial sequence"	Limnohabitans
ASV299	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella		"Uncultured Rhodospirillaceae bacterium clone OTU_274 16S ribosomal RNA gene, partial sequence"	Reyranella
ASV300	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Family_Microbacteriaceae		"Microbacteriaceae bacterium WY83 chromosome, complete genome"	Family_Microbacteriaceae
ASV301	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV302	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		"Uncultured bacterium clone HUSOE0I01BD200 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV303	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylovirgula	ligni	"Uncultured Beijerinckiaceae bacterium clone shg1t_2582 16S ribosomal RNA gene, partial sequence"	Methylovirgula
ASV304	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aminobacter		"Bacterium SCSIO13306 16S ribosomal RNA gene, partial sequence"	Aminobacter
ASV305	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Medicago blancheana voucher I.S. Choi MD020 plastid, complete genome"	Order_Chloroplast
ASV306	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		"Uncultured bacterium clone OTU2254 16S ribosomal RNA gene, partial sequence"	Flavobacterium
ASV307	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium		"Uncultured bacterium clone 150689_AL219_1094072 16S ribosomal RNA gene, partial sequence"	Sphingobium
ASV308	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	tamlense	"Uncultured Aeromicrobium sp. clone OTU112 16S ribosomal RNA gene, partial sequence"	Aeromicrobium
ASV309	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter		"Uncultured bacterium clone A494_Bac19 16S ribosomal RNA gene, partial sequence"	Limnobacter
ASV310	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas		"Blastomonas sp. strain bqt153 16S ribosomal RNA gene, partial sequence"	Blastomonas
ASV311	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV312	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Family_Planococcaceae		"Bacillus sp. (in: Bacteria) strain RCPS5 16S ribosomal RNA gene, partial sequence"	Family_Planococcaceae
ASV313	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia		"Serratia marcescens strain N1.14 16S ribosomal RNA gene, partial sequence"	Serratia
ASV314	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	cf.	"Uncultured Chitinophaga sp. clone Acro25 16S ribosomal RNA gene, partial sequence"	Chitinophaga
ASV315	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Lagerstroemia indica mitochondrion, complete genome"	Family_Mitochondria
ASV316	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium		"Janthinobacterium lividum strain EIF2 chromosome, complete genome"	Janthinobacterium
ASV317	Bacteria	Bacteroidota	SJA-28	Class_SJA-28	Class_SJA-28	Class_SJA-28		uncultured bacterium partial 16S rRNA gene	Class_SJA-28
ASV318	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Family_Nocardiopsaceae		"Uncultured microorganism clone uncultured_Nocardiopsaceae_OTU0674 16S ribosomal RNA gene, partial sequence"	Family_Nocardiopsaceae
ASV319	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Pinus strobus clone PinN602 small subunit ribosomal RNA (rrnS) gene, complete sequence; mitochondrial"	Family_Mitochondria
ASV320	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter		"Curvibacter sp. strain SRS-179-F-2019 16S ribosomal RNA gene, partial sequence"	Curvibacter
ASV321	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV322	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus		"Uncultured organism clone OTU_162 16S ribosomal RNA gene, partial sequence"	Candidatus Amoebophilus
ASV323	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured Bacilli bacterium clone SHOC549 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV324	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Silanimonas	algicola	"Silanimonas sp. strain NJS23 16S ribosomal RNA gene, partial sequence"	Silanimonas
ASV325	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter		"Curvibacter sp. strain SRS-179-F-2019 16S ribosomal RNA gene, partial sequence"	Curvibacter
ASV326	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV327	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV328	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV329	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		"Streptococcus gordonii strain 1750 16S ribosomal RNA gene, partial sequence"	Streptococcus
ASV330	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	suwonense	"Noviherbaspirillum sp. strain B73 16S ribosomal RNA gene, partial sequence"	Noviherbaspirillum
ASV331	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV332	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		"Massilia consociata strain OsEnb_ALM_C6 16S ribosomal RNA gene, partial sequence"	Massilia
ASV333	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV334	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia		"Dietzia timorensis strain SJU12 16S ribosomal RNA gene, partial sequence"	Dietzia
ASV335	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV336	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		"Chryseobacterium gambrini strain XS 25-6 16S ribosomal RNA gene, partial sequence"	Chryseobacterium
ASV337	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium		"Sphingobium sp. strain LAC 16S ribosomal RNA gene, partial sequence."	Sphingobium
ASV338	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7a		"Uncultured bacterium partial 16S rRNA gene, clone SIBS710_N12D0_16S_B"	TM7a
ASV339	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		"Mucilaginibacter sp. strain MJ1a 16S ribosomal RNA gene, partial sequence"	Mucilaginibacter
ASV340	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. BR-218 gene for 16S ribosomal RNA, partial sequence"	Methylobacterium-Methylorubrum
ASV341	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV342	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Uncultured bacterium clone MD9_aap57c12 16S ribosomal RNA gene, partial sequence"	Methylobacterium-Methylorubrum
ASV343	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus fructosus strain DPC7235 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV344	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora		"Actinomycetospora sp. strain WMMA1761 16S ribosomal RNA gene, partial sequence"	Actinomycetospora
ASV345	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia		"Uncultured bacterium clone CP_Otu1595 16S ribosomal RNA gene, partial sequence"	Afipia
ASV346	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Gallionella		"Uncultured bacterium clone IVW_A12 16S ribosomal RNA gene, partial sequence"	Gallionella
ASV347	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV348	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		"Mycolicibacterium insubricum JCM 16366 DNA, nearly complete genome"	Mycobacterium
ASV349	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Calligonum junceum isolate J2 chloroplast, complete genome"	Order_Chloroplast
ASV350	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Family_Caulobacteraceae		"Caulobacter mirabilis partial 16S rRNA gene, isolate RAV_CW4_I_B"	Family_Caulobacteraceae
ASV351	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerococcus	Family_Anaerococcus		"Uncultured bacterium clone denovo10411 16S ribosomal RNA gene, partial sequence"	Family_Anaerococcus
ASV352	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		"Pseudomonas sp. strain voya40th634 16S ribosomal RNA gene, partial sequence"	Pseudomonas
ASV353	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Bombella		"Acetobacteraceae bacterium strain IM_G(L)3 16S ribosomal RNA gene, partial sequence"	Bombella
ASV354	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Oryza rufipogon mitochondrion genomic DNA containing atp6-orf153-rps13-rps4-orf176-atp9-rrn18-rrn5-orf187-orf152b-orf161-cox2-orf79 region, haplotype NA3-orf79, strain W1757"	Family_Mitochondria
ASV355	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV356	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Frischella		"Uncultured bacterium clone 16S_rRNA_OTU_4363685 16S ribosomal RNA gene, partial sequence"	Frischella
ASV357	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	ponti	"Aeromicrobium sp. strain voya40th322 16S ribosomal RNA gene, partial sequence"	Aeromicrobium
ASV358	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV359	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain Y7BS1 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV360	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter		"Uncultured bacterium clone A494_Bac19 16S ribosomal RNA gene, partial sequence"	Limnobacter
ASV361	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Uncultured bacterium clone OTU982_Y_1_A_1136018 16S ribosomal RNA gene, partial sequence"	Methylobacterium-Methylorubrum
ASV362	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria		"Kocuria sp. T35-5 gene for 16S ribosomal RNA, partial sequence"	Kocuria
ASV363	Bacteria	Firmicutes	Bacilli	Bacillales	Order_Bacillales	Order_Bacillales		"Bacillus circulans strain GN03 chromosome, complete genome"	Order_Bacillales
ASV364	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella		"Granulicatella adiacens strain 4999 16S ribosomal RNA gene, partial sequence"	Granulicatella
ASV365	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV366	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Family_Sphingomonadaceae		"Sphingomonas sp. strain V-47 16S ribosomal RNA gene, partial sequence"	Family_Sphingomonadaceae
ASV367	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium		"Microbacterium sp. strain T804 16S ribosomal RNA gene, partial sequence"	Microbacterium
ASV368	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Williamsia	spongiae	"Williamsia serinedens strain EV1 16S ribosomal RNA gene, partial sequence"	Williamsia
ASV369	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella		"Uncultured bacterium clone 16S_rRNA_OTU_256276 16S ribosomal RNA gene, partial sequence"	Bartonella
ASV370	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV371	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV372	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Bacterium strain A52S 16S ribosomal RNA gene, partial sequence"	Methylobacterium-Methylorubrum
ASV373	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus fructosus strain Montana 14 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV374	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		"Uncultured bacterium clone OTU62_L_2_F0_132964 16S ribosomal RNA gene, partial sequence"	Sediminibacterium
ASV375	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV376	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		"Uncultured bacterium clone 16S_rRNA_OTU_822770 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV377	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Veronica nakaiana voucher K.S. Choi 2014024 plastid, complete genome"	Order_Chloroplast
ASV378	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 3		"Uncultured Clostridium sp. clone Z21 16S ribosomal RNA gene, partial sequence"	Clostridium sensu stricto 3
ASV379	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV380	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia		"Uncultured bacterium clone 16S(V3-V4)-69 16S ribosomal RNA gene, partial sequence"	Ralstonia
ASV381	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured eukaryote clone ncd1079f10c1 16S ribosomal RNA gene, partial sequence; plastid"	Order_Chloroplast
ASV382	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade		"Uncultured actinobacterium clone A141 16S ribosomal RNA gene, partial sequence"	hgcI clade
ASV383	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Family_Obscuribacteraceae		"Uncultured microorganism clone 437 small subunit ribosomal RNA gene, partial sequence"	Family_Obscuribacteraceae
ASV384	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured bacterium clone OHW15 16S ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV385	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured bacterium clone dongzy2tff8961 16S ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV386	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	maris	"Uncultured prokaryote clone Otu02069 16S ribosomal RNA gene, partial sequence"	Corynebacterium
ASV387	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Family_Enterobacteriaceae		"Enterobacter ludwigii strain OsEp_Plm_30B20 16S ribosomal RNA gene, partial sequence"	Family_Enterobacteriaceae
ASV388	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Echinacanthus longipes voucher IBSC:F.Peng P16102201 chloroplast, complete genome"	Family_Mitochondria
ASV389	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter junii strain DKD 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV390	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Juniperus saltuaria voucher JSALT20191228 chloroplast, complete genome"	Order_Chloroplast
ASV391	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Apilactobacillus micheneri 11D gene for 16S ribosomal RNA, partial sequence"	Lactobacillus kunkeei
ASV392	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia		"Alicycliphilus sp. strain T572 16S ribosomal RNA gene, partial sequence"	Ottowia
ASV393	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae		"Curvibacter delicatus strain MT_CG_19_I.27F 16S ribosomal RNA gene, partial sequence"	Family_Comamonadaceae
ASV394	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		"Massilia violaceinigra strain BaTD-379 16S ribosomal RNA gene, partial sequence"	Massilia
ASV395	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Xanthoceras sorbifolium mitochondrion, complete genome"	Family_Mitochondria
ASV396	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus		"Uncultured Aliicoccus sp. clone OTU68 16S ribosomal RNA gene, partial sequence"	Aliicoccus
ASV397	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia		"Uncultured bacterium clone A769 16S ribosomal RNA gene, partial sequence"	Klenkia
ASV398	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		"Chryseobacterium sp. strain Atelim1H 16S ribosomal RNA gene, partial sequence"	Chryseobacterium
ASV399	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Delftia		"Delftia sp. strain AAUGM-10 16S ribosomal RNA gene, partial sequence"	Delftia
ASV400	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. PPFM323 gene for 16S ribosomal RNA, partial sequence"	Methylobacterium-Methylorubrum
ASV401	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia		"Afipia sp. strain PN3-B09P3-3 16S ribosomal RNA gene, partial sequence"	Afipia
ASV402	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas		"Bacterium strain MR5S14 16S ribosomal RNA gene, partial sequence"	Cellulomonas
ASV403	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Uncultured Sphingomonas sp. clone NPW3W1u61 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV404	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV405	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV406	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia		"Nesterenkonia alkaliphila strain F10 16S ribosomal RNA gene, partial sequence"	Nesterenkonia
ASV407	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV408	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV409	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV410	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV411	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus		"Deinococcus caeni strain EGI24 16S ribosomal RNA gene, partial sequence"	Deinococcus
ASV412	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV413	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Phytophthora agathidicida culture ICMP:16471 mitochondrion, complete genome"	Family_Mitochondria
ASV414	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Friedmanniella		"Friedmanniella sp. BR-149 gene for 16S ribosomal RNA, partial sequence"	Friedmanniella
ASV415	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV416	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	geojensis	"Devosia sp. Ri3Pt_4249 gene for 16S rRNA, partial sequence"	Devosia
ASV417	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV418	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga		"Microvirga sp. SYSU G3D207 16S ribosomal RNA gene, partial sequence"	Microvirga
ASV419	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	aureus	"Staphylococcus epidermidis partial 16S rRNA gene, isolate D2N_17501"	Staphylococcus
ASV420	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium		"Corynebacterium sp. strain NML 180780 16S ribosomal RNA gene, partial sequence"	Corynebacterium
