	Kingdom	Phylum	Class	Order	Family	Genus	Species	Blast	Annotated
ASV138	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Malus domestica cultivar Yantai fuji 8 mitochondrion, complete genome"	Family_Mitochondria
ASV139	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Bacterium strain BH2S2 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV140	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella		"Uncultured bacterium clone VS12-69 16S ribosomal RNA gene, partial sequence"	Aliterella
ASV141	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1		"Uncultured bacterium partial 16S rRNA gene, clone 13SM-H8"	PMMR1
ASV142	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Uncultured bacterium clone A1724 16S ribosomal RNA gene, partial sequence"	Family_Mitochondria
ASV143	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Trifolium repens voucher IBSC:L.Duan 2018002 chloroplast, complete genome"	Order_Chloroplast
ASV144	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Phytophthora nicotianae mitochondrion, complete genome"	Family_Mitochondria
ASV145	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas sp. BR-159 gene for 16S ribosomal RNA, partial sequence"	Sphingomonas
ASV146	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter		"Uncultured bacterium clone 1888 16S ribosomal RNA gene, partial sequence"	Conexibacter
ASV147	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubrivirga		"Uncultured bacterium clone HL15-127 16S ribosomal RNA gene, partial sequence"	Rubrivirga
ASV148	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1		"Clostridium celatum G085 gene for 16S ribosomal RNA, partial sequence"	Clostridium sensu stricto 1
ASV149	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	sanguinis	"Turicibacter sanguinis H006 gene for 16S ribosomal RNA, partial sequence"	Turicibacter
ASV150	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Family_Chroococcidiopsaceae		"Uncultured cyanobacterium clone ABLBc68 16S ribosomal RNA gene, partial sequence"	Family_Chroococcidiopsaceae
ASV151	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium		"Cutibacterium acnes strain 3265 16S ribosomal RNA gene, partial sequence"	Cutibacterium
ASV152	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus		"Uncultured bacterium clone 2007WL_16S_OTU_3029 16S ribosomal RNA gene, partial sequence"	Lysinibacillus
ASV153	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga		"Uncultured alpha proteobacterium partial 16S rRNA gene, clone 7G-00-G12"	Microvirga
ASV154	Bacteria	Firmicutes	Bacilli	Lactobacillales	Order_Lactobacillales	Order_Lactobacillales		"Uncultured bacterium clone 16S_rRNA_OTU_OTU53 16S ribosomal RNA gene, partial sequence"	Order_Lactobacillales
ASV155	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides		"Uncultured bacterium clone denovo7908 16S ribosomal RNA gene, partial sequence"	Nocardioides
ASV156	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	rubriscoriae	"Uncultured bacterium clone A1084 16S ribosomal RNA gene, partial sequence"	Nocardioides
ASV157	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis		uncultured bacterium partial 16S rRNA gene	Rhizorhapis
ASV158	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Clausia trichosepala chloroplast, complete genome"	Order_Chloroplast
ASV159	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter junii strain DKD 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV160	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		"Uncultured bacterium clone OTU_11771 16S ribosomal RNA gene, partial sequence"	Spirosoma
ASV161	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	frigidaquae	"Roseomonas frigidaquae strain ZSGR2 16S ribosomal RNA gene, partial sequence"	Roseomonas
ASV162	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides		"Nocardioides sp. strain SYSU_D00516 16S ribosomal RNA gene, partial sequence"	Nocardioides
ASV163	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium		"Curtobacterium sp. BA-222 gene for 16S ribosomal RNA, partial sequence"	Curtobacterium
ASV164	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria		"Kocuria sp. strain HY2 16S ribosomal RNA gene, partial sequence"	Kocuria
ASV165	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Cannabis sativa mitochondrion, complete genome"	Family_Mitochondria
ASV166	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Bombella		"Uncultured bacterium clone 1477 16S ribosomal RNA gene, partial sequence"	Bombella
ASV167	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella		"Uncultured bacterium partial 16S rRNA gene, clone AL3-2_01"	Tyzzerella
ASV168	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium		"Uncultured bacterium clone A67 16S ribosomal RNA gene, partial sequence"	Neorhizobium
ASV169	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Uncultured Sphingomonas sp. clone GSY-XJ29 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV170	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured bacterium clone dongzy2tff8961 16S ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV171	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter		"Citrobacter freundii strain ZY198 chromosome, complete genome"	Citrobacter
ASV172	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter		"Uncultured bacterium clone nbw636e05c1 16S ribosomal RNA gene, partial sequence"	Roseisolibacter
ASV173	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus fructosus strain Montana 14 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV174	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas humi strain 1B11 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV175	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Family_Myxococcaceae		"Uncultured bacterium clone 808319_AL227_22736 16S ribosomal RNA gene, partial sequence"	Family_Myxococcaceae
ASV176	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix PCC-6303		"Uncultured bacterium clone denovo27745 16S ribosomal RNA gene, partial sequence"	Calothrix PCC-6303
ASV177	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		Orobanche austrohispanica clone Oaus-c739 genomic sequence	Family_Mitochondria
ASV178	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		"Chryseobacterium sp. strain Atecer7N 16S ribosomal RNA gene, partial sequence"	Chryseobacterium
ASV179	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera		"Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: 4_10"	Candidatus Alysiosphaera
ASV180	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter		"Uncultured bacterium clone dongzytff26203 16S ribosomal RNA gene, partial sequence"	Hymenobacter
ASV181	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus		"Lysinibacillus sp. strain S77a 16S ribosomal RNA gene, partial sequence"	Solibacillus
ASV182	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera		"Uncultured bacterium clone denovo31368 16S ribosomal RNA gene, partial sequence"	Candidatus Alysiosphaera
ASV183	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix PCC-6303		"Uncultured bacterium clone YF207 16S ribosomal RNA gene, partial sequence"	Calothrix PCC-6303
ASV184	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Friedmanniella		"Friedmanniella sp. BR-149 gene for 16S ribosomal RNA, partial sequence"	Friedmanniella
ASV185	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora		"Actinomycetospora sp. BR-257 gene for 16S ribosomal RNA, partial sequence"	Actinomycetospora
ASV186	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter		"Uncultured bacterium clone A415 16S ribosomal RNA gene, partial sequence"	Rathayibacter
ASV187	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium partial 16S rRNA gene, clone 119_11"	Lactobacillus Firm5
ASV188	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium		"Corynebacterium sp. strain NML 180780 16S ribosomal RNA gene, partial sequence"	Corynebacterium
ASV189	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus		"Blastococcus sp. strain SYSU_D00922 16S ribosomal RNA gene, partial sequence"	Blastococcus
ASV190	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	fructosus	"Fructobacillus fructosus strain Sp125 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV191	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter baumannii ATCC 17978 chromosome, complete genome"	Acinetobacter
ASV192	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Order_Frankiales	Order_Frankiales		"Uncultured bacterium clone nck79g07c1 16S ribosomal RNA gene, partial sequence"	Order_Frankiales
ASV193	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured bacterium clone Pre-sep_090802W1_16S_rRNA_uncultured_bacterium_19774 16S ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV194	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter		"Uncultured bacterium clone A766 16S ribosomal RNA gene, partial sequence"	Enhydrobacter
ASV195	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium		"Uncultured bacterium clone 2183 16S ribosomal RNA gene, partial sequence"	Rubellimicrobium
ASV196	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter		"Uncultured bacterium clone HK31-1-18-2 16S ribosomal RNA gene, partial sequence"	Altererythrobacter
ASV197	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055		"Oculatella atacamensis ATA3-4Q-CV5 16S ribosomal RNA gene, partial sequence"	Ellin6055
ASV198	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Friedmanniella		"Microlunatus lacustris strain YZJR07 16S ribosomal RNA gene, partial sequence"	Friedmanniella
ASV199	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Peronospora effusa isolate R14 mitochondrion, complete genome"	Family_Mitochondria
ASV200	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia		"Uncultured bacterium clone denovo16284 16S ribosomal RNA gene, partial sequence"	Kineosporia
ASV201	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter		"Uncultured bacterium clone YZ719 16S ribosomal RNA gene, partial sequence"	Roseisolibacter
ASV202	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter		"Curvibacter sp. strain SRS-179-F-2019 16S ribosomal RNA gene, partial sequence"	Curvibacter
ASV203	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV204	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Frischella		"Uncultured bacterium clone denovo17358 16S ribosomal RNA gene, partial sequence"	Frischella
ASV205	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Order_Frankiales	Order_Frankiales		"Uncultured bacterium clone dongzytff34886 16S ribosomal RNA gene, partial sequence"	Order_Frankiales
ASV206	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Uncultured bacterium clone 699318_AL227_227591 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV207	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter		"Arthrobacter sp. strain JJ-1 16S ribosomal RNA gene, partial sequence"	Pseudarthrobacter
ASV208	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	hydrothermalis	"Thermomonas sp. strain DH-29 16S ribosomal RNA gene, partial sequence"	Thermomonas
ASV209	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter		"Uncultured bacterium clone CP_Otu5686 16S ribosomal RNA gene, partial sequence"	Roseisolibacter
ASV210	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Viridibacillus		"Viridibacillus arenosi strain J5M2LARS 16S ribosomal RNA gene, partial sequence"	Viridibacillus
ASV211	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV212	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Family_Micrococcaceae		"Uncultured bacterium clone A341 16S ribosomal RNA gene, partial sequence"	Family_Micrococcaceae
ASV213	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		"Uncultured bacterium clone HAV7D9G03CELJK 16S ribosomal RNA gene, partial sequence"	Spirosoma
ASV214	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas		"Uncultured bacterium clone OTU_15 16S ribosomal RNA gene, partial sequence"	Pelomonas
ASV215	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		"Enterococcus faecium strain BG 16S ribosomal RNA gene, partial sequence"	Enterococcus
ASV216	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina		"Sporosarcina sp. strain L53 16S ribosomal RNA gene, partial sequence"	Sporosarcina
ASV217	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV218	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium		"Corynebacterium variabile strain 1486 16S ribosomal RNA gene, partial sequence"	Corynebacterium
ASV219	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter		"Uncultured Turicibacter sp. gene for 16S ribosomal RNA, partial sequence, clone: M15-Ba11"	Turicibacter
ASV220	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Family_Bacillaceae		"Bacillus campisalis strain S5-M2-16 16S ribosomal RNA gene, partial sequence"	Family_Bacillaceae
ASV221	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus		"Uncultured bacterium clone A487 16S ribosomal RNA gene, partial sequence"	Kineococcus
ASV222	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	panisapium	"Lactobacillus panisapium strain M1-6-16 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV223	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia		"Geodermatophilus sp. strain SYSU_D00758 16S ribosomal RNA gene, partial sequence"	Klenkia
ASV224	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Uncultured bacterium clone A255 16S ribosomal RNA gene, partial sequence"	Methylobacterium-Methylorubrum
ASV225	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella		"Uncultured bacterium clone CP_Otu412 16S ribosomal RNA gene, partial sequence"	Blastocatella
ASV226	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola		"Marmoricola sp. Ri2Ps_5057 gene for 16S rRNA, partial sequence"	Marmoricola
ASV227	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Order_Frankiales	Order_Frankiales		"Uncultured bacterium clone A1943 16S ribosomal RNA gene, partial sequence"	Order_Frankiales
ASV228	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus		"Uncultured Staphylococcus sp. clone MN3211_D4 16S ribosomal RNA gene, partial sequence"	Staphylococcus
ASV229	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Paraprenanthes diversifolia mitochondrion, complete genome"	Family_Mitochondria
ASV230	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter dispersus strain ASL31 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. SO-204 gene for 16S ribosomal RNA, partial sequence"	Methylobacterium-Methylorubrum
ASV232	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Order_Frankiales	Order_Frankiales		"Uncultured bacterium partial 16S rRNA gene, clone 13SM-H38"	Order_Frankiales
ASV233	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Eremococcus		"Uncultured bacterium clone OTU_1115 16S ribosomal RNA gene, partial sequence"	Eremococcus
ASV234	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix PCC-6303		"Uncultured bacterium clone OTU_13978 16S ribosomal RNA gene, partial sequence"	Calothrix PCC-6303
ASV235	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		"Uncultured bacterium clone HAV7D9G03CELJK 16S ribosomal RNA gene, partial sequence"	Spirosoma
ASV236	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium		"Streptosporangium sp. SANK_60501 gene for 16S ribosomal RNA, partial sequence"	Streptosporangium
ASV237	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium		"Agrobacterium larrymoorei strain OsEp_Plm_30P19 16S ribosomal RNA gene, partial sequence"	Neorhizobium
ASV238	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Family_Microbacteriaceae		"Microbacteriaceae bacterium strain 13S1-3 16S ribosomal RNA gene, partial sequence"	Family_Microbacteriaceae
ASV239	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured Lactobacillus sp. clone B10.043E2 16S ribosomal RNA gene, partial sequence"	Lactobacillus
ASV240	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		"Enterococcus avium G-15 DNA, complete genome"	Enterococcus
ASV241	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides		"Uncultured prokaryote clone OTU0401 16S ribosomal RNA gene, partial sequence"	Clostridioides
ASV242	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Friedmanniella		"Friedmanniella sp. BA-252 gene for 16S ribosomal RNA, partial sequence"	Friedmanniella
ASV243	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		"Uncultured bacterium clone G4TICC402D410B 16S ribosomal RNA gene, partial sequence"	Spirosoma
ASV244	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Order_Armatimonadales	Order_Armatimonadales		"Uncultured bacterium clone denovo28439 16S ribosomal RNA gene, partial sequence"	Order_Armatimonadales
ASV245	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	nectaris	"Bacterium strain BH2S4 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV246	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Daucus tenuisectus voucher Ames 31616 18S ribosomal RNA (rrn18) gene, complete sequence; mitochondrial"	Family_Mitochondria
ASV247	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Centaurea diffusa chloroplast, complete genome"	Order_Chloroplast
ASV248	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Salinicoccus	kekensis	"Salinicoccus kekensis strain K164 16S ribosomal RNA, partial sequence"	Salinicoccus
ASV249	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Brachypodium distachyon genome assembly, organelle: plastid:chloroplast"	Order_Chloroplast
ASV250	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Auricoccus-Abyssicoccus		"Uncultured Macrococcus sp. clone OTU22 16S ribosomal RNA gene, partial sequence"	Auricoccus-Abyssicoccus
ASV251	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Tecomaria capensis voucher L.H.M. Fonseca 305 18S ribosomal RNA (rrn18) gene, complete sequence; mitochondrial"	Family_Mitochondria
ASV252	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas		"Uncultured bacterium clone OTU_22 16S ribosomal RNA gene, partial sequence"	Tepidimonas
ASV253	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Neoscardovia		"Uncultured bacterium clone denovo63854 16S ribosomal RNA gene, partial sequence"	Neoscardovia
ASV254	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 9		"Uncultured bacterium clone RHDTWG68 16S ribosomal RNA gene, partial sequence"	Clostridium sensu stricto 9
ASV255	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1		"Uncultured prokaryote clone OTU_5918 16S ribosomal RNA gene, partial sequence"	PMMR1
ASV256	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter		"Uncultured bacterium clone denovo28656 16S ribosomal RNA gene, partial sequence"	Rubrobacter
ASV257	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Peronospora effusa isolate R14 mitochondrion, complete genome"	Family_Mitochondria
ASV258	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Caryophanon		"Uncultured prokaryote clone OTU1598 16S ribosomal RNA gene, partial sequence"	Caryophanon
ASV259	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Primula bulleyana chloroplast, complete genome"	Order_Chloroplast
ASV260	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	ozensis	"Lactobacillus ozensis JCM 17196 gene for 16S rRNA, partial sequence"	Lactobacillus
ASV261	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		"Uncultured Gammaproteobacteria bacterium partial 16S rRNA gene, isolate OTU1742"	Pseudomonas
ASV262	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		"Uncultured bacterium clone BOTU531 16S ribosomal RNA gene, partial sequence"	Roseomonas
ASV263	Bacteria	Proteobacteria	Alphaproteobacteria	Class_Alphaproteobacteria	Class_Alphaproteobacteria	Class_Alphaproteobacteria		"Uncultured bacterium clone 24637 16S ribosomal RNA gene, partial sequence"	Class_Alphaproteobacteria
ASV264	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Family_JG30-KF-CM45		"Uncultured bacterium clone Ovdat-194 16S ribosomal RNA gene, partial sequence"	Family_JG30-KF-CM45
ASV265	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	sedimentorum	"Romboutsia sedimentorum strain CBA7519 16S ribosomal RNA gene, partial sequence"	Romboutsia
ASV266	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		"Pseudomonas poae strain XJX-5 16S ribosomal RNA gene, partial sequence"	Pseudomonas
ASV267	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Albugo laibachii Nc14, mitochondrial genomic contig NODE_21_length_2041_cov_214.733459"	Family_Mitochondria
ASV268	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1		uncultured bacterium partial 16S rRNA gene	Clostridium sensu stricto 1
ASV269	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium		"Micrococcaceae bacterium strain LA-22 16S ribosomal RNA gene, partial sequence"	Renibacterium
ASV270	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter		"Uncultured Bacteroidetes bacterium clone JOCH_S(A)8_33 16S ribosomal RNA gene, partial sequence"	Hymenobacter
ASV271	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces		"Streptomyces sp. strain M137-2 16S ribosomal RNA gene, partial sequence"	Streptomyces
ASV272	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	lwoffii	"Acinetobacter lwoffii strain IBGE-BCL-CM01 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV273	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Luteococcus		"Uncultured bacterium clone horsem_aai94f02 16S ribosomal RNA gene, partial sequence"	Luteococcus
